MeasurementTime,VehicleType,VehicleFlowRate,AverageVehicleSpeed,CountyNo,Geometry,RegionId
2025-08-03T10:47:00.000+02:00,anyVehicle,660,81.98,1,"{'SWEREF99TM': 'POINT (659289.01 6568810.86)', 'WGS84': 'POINT (17.791569 59.228317)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,66.76,1,"{'SWEREF99TM': 'POINT (674955.99 6577087.82)', 'WGS84': 'POINT (18.07238 59.296364)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,89.68,1,"{'SWEREF99TM': 'POINT (671576.97 6585292.11)', 'WGS84': 'POINT (18.019665 59.371323)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,84.45,1,"{'SWEREF99TM': 'POINT (665514.99 6587800.16)', 'WGS84': 'POINT (17.915071 59.39624)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1320,66.42,1,"{'SWEREF99TM': 'POINT (674956.01 6577092.07)', 'WGS84': 'POINT (18.072384 59.296402)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,240,60.39,1,"{'SWEREF99TM': 'POINT (674450.04 6577030.04)', 'WGS84': 'POINT (18.063463 59.296055)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,94.32,1,"{'SWEREF99TM': 'POINT (659001.03 6568428.81)', 'WGS84': 'POINT (17.78625 59.225)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,82.66,1,"{'SWEREF99TM': 'POINT (664660.98 6588086.08)', 'WGS84': 'POINT (17.900272 59.39914)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1140,63.11,1,"{'SWEREF99TM': 'POINT (673715.02 6577003.95)', 'WGS84': 'POINT (18.050556 59.296124)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,99.0,1,"{'SWEREF99TM': 'POINT (667648.94 6587992.12)', 'WGS84': 'POINT (17.952747 59.397118)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1200,70.34,1,"{'SWEREF99TM': 'POINT (671252.04 6582389.04)', 'WGS84': 'POINT (18.011646 59.34542)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1980,80.3,1,"{'SWEREF99TM': 'POINT (651513 6564261.92)', 'WGS84': 'POINT (17.652298 59.19036)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1200,85.25,1,"{'SWEREF99TM': 'POINT (663431.96 6571946.9)', 'WGS84': 'POINT (17.866432 59.254868)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,840,58.14,1,"{'SWEREF99TM': 'POINT (676539.06 6577527.91)', 'WGS84': 'POINT (18.100492 59.299652)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,480,93.42,1,"{'SWEREF99TM': 'POINT (663445 6588237.84)', 'WGS84': 'POINT (17.879002 59.400974)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,660,88.04,1,"{'SWEREF99TM': 'POINT (666232.03 6590368.02)', 'WGS84': 'POINT (17.92967 59.418987)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,180,67.44,1,"{'SWEREF99TM': 'POINT (674054.99 6576817.06)', 'WGS84': 'POINT (18.056366 59.294308)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,180,83.64,1,"{'SWEREF99TM': 'POINT (674787 6583298.97)', 'WGS84': 'POINT (18.074448 59.35213)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,75.86,1,"{'SWEREF99TM': 'POINT (667002.98 6586895.01)', 'WGS84': 'POINT (17.940535 59.387535)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,720,71.79,1,"{'SWEREF99TM': 'POINT (662867 6571635.97)', 'WGS84': 'POINT (17.856304 59.252296)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,600,63.29,1,"{'SWEREF99TM': 'POINT (674578.95 6577041.93)', 'WGS84': 'POINT (18.065733 59.29611)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1200,67.7,1,"{'SWEREF99TM': 'POINT (673413.02 6577018.2)', 'WGS84': 'POINT (18.045273 59.296375)'}",4
